jobTitle,jobCompany,jobLocation,jobSubClassification,jobClassification,jobSalary
Business Analyst at ACT Solutions Limited (Fresh graduate welcome),Jobsdb - SmartHire,Southern District,Engineering - Software,(Information & Communication Technology),
Business System Analyst,TEKsystems,Central and Western District,Business/Systems Analysts,(Information & Communication Technology),"$55,000 – $65,000 per month"
Senior Business Analyst,Gientech Technology (Hong Kong) Limited,"('Wan Chai', 'Wan Chai District')",Business/Systems Analysts,(Information & Communication Technology),
"Business Analyst, HRIS",ASMPT Technology Hong Kong Limited,"('Tsing Yi', 'Kwai Tsing Area')",Mechanical Engineering,(Engineering),
"Business Analyst, Supply Chain Management",ASMPT Technology Hong Kong Limited,"('Tsing Yi', 'Kwai Tsing Area')",Business/Systems Analysts,(Information & Communication Technology),
Business Analyst,Belden Asia ( Hong Kong ) Limited,Central and Western District,Analysis & Reporting,(Sales),
Business Analyst - Cybersecurity,TEKsystems,Central and Western District,Business/Systems Analysts,(Information & Communication Technology),"$50,000 – $65,000 per month"
Junior Analyst,Advance Resources Personnel Consultants Limited,"('Hung Hom', 'Kowloon City District')",Other,(Banking & Financial Services),negotiable
ERP Consultant/Business Analyst,Capsuite Limited,"('Kwun Tong', 'Kwun Tong District')",Business/Systems Analysts,(Information & Communication Technology),
Senior Data Analyst,IMiracle (HK) Limited,"('Hung Hom', 'Kowloon City District')",Market Research & Analysis,(Marketing & Communications),"$35,000 – $50,000 per month"
"Financial Analyst - Budget Preparation & Forecast, Finance Department (MJ002919)",KPMG,"('Aberdeen', 'Southern District')",Analysis & Reporting,(Accounting),
"Financial Analyst - Report & Presentation, Finance Department (MJ004045)",KPMG,"('Aberdeen', 'Southern District')",Analysis & Reporting,(Accounting),
Core Business Services – Finance – Financial Analyst,EY,Eastern District,Financial Accounting & Reporting,(Accounting),
"Officer, Business Process Analytics (Supply Chain)",Maxim's Caterers Limited,"('Lai Chi Kok', 'Sham Shui Po District')",Business/Systems Analysts,(Information & Communication Technology),
Senior Financial Analyst (Business Planning & Development),Hong Kong Disneyland,"('Lantau Island', 'Islands District')",Strategy & Planning,(Consulting & Strategy),
Assistant Project Manager (Infrastructure Delivery),Jobsdb - SmartHire,"('Airport Area', 'Islands District')",Programme & Project Management,(Information & Communication Technology),
Business analyst,Manulife (International) Limited,"('Ngau Tau Kok', 'Kwun Tong District')",Business/Systems Analysts,(Information & Communication Technology),"$20,000 – $25,000 per year"
Business Analyst - Banking Institution,TEKsystems,Central and Western District,Business/Systems Analysts,(Information & Communication Technology),
Service Centre Analyst at Optimum Solutions (Hong Kong) Limited,Jobsdb - SmartHire,"('Airport Area', 'Islands District')",Help Desk & IT Support,(Information & Communication Technology),
Market Research Analyst / Business Analyst,Thyssenkrupp Materials Services GmbH,"('Wan Chai', 'Wan Chai District')",Analysis & Reporting,"(Mining, Resources & Energy)",
Assistant Project Management Manager,Chong Hei Group Holding Limited,"('Lai Chi Kok', 'Sham Shui Po District')",Programme & Project Management,(Information & Communication Technology),
System Analyst,Top Pine Technology Ltd,"('Ngau Tau Kok', 'Kwun Tong District')",Engineering - Software,(Information & Communication Technology),
Enterprise Test Analyst (NFT) at Optimum Solutions (Hong Kong) Limited,Jobsdb - SmartHire,"('Airport Area', 'Islands District')",Testing & Quality Assurance,(Information & Communication Technology),
Analyst - Customer Service,Sinopec (Hong Kong) Limited,"('Wan Chai', 'Wan Chai District')",Database Development & Administration,(Information & Communication Technology),
Business Analyst,"The Dairy Farm Company, Limited 牛奶有限公司","('Quarry Bay', 'Eastern District')",Business/Systems Analysts,(Information & Communication Technology),
Asia Polyolefins BDA Manager,Basell Asia Pacific Limited,"('Quarry Bay', 'Eastern District')",Market Research & Analysis,(Marketing & Communications),
Business Development Executive - B2B at Openrice Limited,Jobsdb - SmartHire,"('Quarry Bay', 'Eastern District')",New Business Development,(Sales),
(Senior) Business Strategy Manager,Bank of China (Hong Kong) Limited,"('Central', 'Central and Western District')",Banking - Retail/Branch,(Banking & Financial Services),
Project Manager,,"('Jordan', 'Yau Tsim Mong District')",Project Management,(Construction),
Project Executive / co-ordinator,LMHK Group Limited,"('Lai Chi Kok', 'Sham Shui Po District')",Strategy & Planning,(Consulting & Strategy),"$17,000 – $19,999 per month"
Assistant Project Manager (CCTV/LED Display/AV product) at Roctec Technology Ltd,Jobsdb - SmartHire,"('North Point', 'Eastern District')",Project Management,(Engineering),
Data Application Support Manager (Up to 60K),JFE Consulting Limited,"('Quarry Bay', 'Eastern District')",Help Desk & IT Support,(Information & Communication Technology),"$55,000 – $65,000 per month"
"('Business Analyst at ACT Solutions Limited (Fresh graduate welcome)', 'Business Analyst at ACT Solutions Limited (Fresh graduate welcome)', 'Business Analyst at ACT Solutions Limited (Fresh graduate welcome)', 'Business Analyst at ACT Solutions Limited (Fresh graduate welcome)', 'Business Analyst at ACT Solutions Limited (Fresh graduate welcome)', 'Business Analyst at ACT Solutions Limited (Fresh graduate welcome)', 'Business Analyst at ACT Solutions Limited (Fresh graduate welcome)', 'Business Analyst at ACT Solutions Limited (Fresh graduate welcome)')","('Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire', 'Jobsdb - SmartHire')",Southern District,Engineering - Software,(Information & Communication Technology),
,,Southern District,Engineering - Software,(Information & Communication Technology),
,,,Engineering - Software,(Information & Communication Technology),
"('Business System Analyst', 'Business System Analyst', 'Business System Analyst', 'Business System Analyst', 'Business System Analyst', 'Business System Analyst', 'Business System Analyst', 'Business System Analyst')","('TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems', 'TEKsystems')",Central and Western District,Business/Systems Analysts,(Information & Communication Technology),"$55,000 – $65,000 per month"
,,Central and Western District,Business/Systems Analysts,(Information & Communication Technology),"$55,000 – $65,000 per month"
,,Central and Western District,Business/Systems Analysts,(Information & Communication Technology),"('$55,000 – $65,000 per month', '$55,000 – $65,000 per month')"
,,,Business/Systems Analysts,(Information & Communication Technology),
"('Senior Business Analyst', 'Senior Business Analyst', 'Senior Business Analyst', 'Senior Business Analyst', 'Senior Business Analyst', 'Senior Business Analyst', 'Senior Business Analyst', 'Senior Business Analyst')","('Gientech Technology (Hong Kong) Limited', 'Gientech Technology (Hong Kong) Limited', 'Gientech Technology (Hong Kong) Limited', 'Gientech Technology (Hong Kong) Limited', 'Gientech Technology (Hong Kong) Limited', 'Gientech Technology (Hong Kong) Limited', 'Gientech Technology (Hong Kong) Limited', 'Gientech Technology (Hong Kong) Limited')","('Wan Chai', 'Wan Chai District')",Business/Systems Analysts,(Information & Communication Technology),
,,"('Wan Chai', 'Wan Chai District')",Business/Systems Analysts,(Information & Communication Technology),
"('Business Analyst, HRIS', 'Business Analyst, HRIS', 'Business Analyst, HRIS', 'Business Analyst, HRIS', 'Business Analyst, HRIS', 'Business Analyst, HRIS', 'Business Analyst, HRIS', 'Business Analyst, HRIS')","('ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited')","('Tsing Yi', 'Kwai Tsing Area')",Mechanical Engineering,(Engineering),
,,"('Tsing Yi', 'Kwai Tsing Area')",Mechanical Engineering,(Engineering),
,,,Mechanical Engineering,(Engineering),
"('Business Analyst, Supply Chain Management', 'Business Analyst, Supply Chain Management', 'Business Analyst, Supply Chain Management', 'Business Analyst, Supply Chain Management', 'Business Analyst, Supply Chain Management', 'Business Analyst, Supply Chain Management', 'Business Analyst, Supply Chain Management', 'Business Analyst, Supply Chain Management')","('ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited', 'ASMPT Technology Hong Kong Limited')","('Tsing Yi', 'Kwai Tsing Area')",Business/Systems Analysts,(Information & Communication Technology),
,,"('Tsing Yi', 'Kwai Tsing Area')",Business/Systems Analysts,(Information & Communication Technology),
